ID,Species,Lat,Lon,Elev,Aa_40,Aa_3,Am_40,Am_3,Na_40,Na_3,Nm_40,Nm_3,LMA_40,LMA_3,Biome,LifeForm,EvgDecid,C3C4,Reference
334,Dryobalanops aromatica,3.21666666666667,101.616666666667,171,41.9686734218137,19.0906770694369,-9999,-9999,3.12115380909593,1.99332542732844,1.71118667237074,1.66787682560986,181.215432343248,120.986682489415,Tropics,Tree,Evergreen,C3,{Ishida 1999 #37601}
335,Pinus ponderosa,44.4166666666667,-121.5,1032,17.7004145708146,11.4532120815162,59.23351590315,50.6739242337929,4.70444472662645,3.2463346198745,1.54252578083634,1.42517272199191,299.616170876757,223.633897564629,Temperate,Tree,Evergreen,C3,{Bond 1999 #37619}
336,Pseudotsuga menziesii,44.6333333333333,-123.283333333333,317,13.3358316265443,6.57461562885876,56.269281005305,43.6536147809604,3.19053049152067,1.80308940089533,1.37402480307304,1.19853411566412,243.199913042106,151.563805885203,Temperate,Tree,Evergreen,C3,{Bond 1999 #37619}
337,Tsuga heterophylla,44.6666666666667,-122.6,730,10.4215553520763,3.5399029016773,52.7918993503597,31.0886251306925,3.34694538128141,1.7039823496359,1.78898631338547,1.47887551030955,183.114287623943,115.379612762691,Temperate,Tree,Evergreen,C3,{Bond 1999 #37619}
338,Malus domestica,37.125,-80.4666666666667,718,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,94.2907550548846,63.9690712505165,Temperate,Tree,Deciduous,C3,{Marini 1982 #38318}
339,Pinus sylvestris,62.65,27.0833333333333,101,11.9759255761394,6.49261081731158,42.9972116189041,41.0174633472224,-9999,-9999,-9999,-9999,286.089670138658,142.272716852426,Temperate,Tree,Evergreen,C3,{Stenberg 2001 #39032}
340,Abies balsamea,47.3,-71.1,800,5.44318349651258,3.28044832188596,19.7332249267422,30.6075299412612,-9999,-9999,-9999,-9999,261.800629634623,127.684115257452,Temperate,Tree,Evergreen,C3,{Bernier 2001 #39033}
341,Chamaedorea elegans,16.1,-90.9333333333333,178,7.3006064495836,3.70225384103033,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,Tropics,shrub/monocot,Evergreen,C3,{Anten 2001 #39101}
345,Chamaedorea elegans,37.43,-122.18,33,11.0031374219135,6.40003660981502,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,Tropics,shrub/monocot,Evergreen,C3,{Anten 2001 #39101}
349,Chamaedorea elegans,37.43,-122.18,33,11.7182420250847,1.85129689026436,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,Tropics,shrub/monocot,Evergreen,C3,{Anten 2001 #39101}
353,Brassica oleracea,52.2,9.73,71,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,132.048205077907,19.8675682965145,Temperate,Herb,,C3,{Alt 2000 #39838};{Alt 2000 #44378}
